"VEGOBJEKT-ID";"TYPE-ID";"VERSJON";"STARTDATO";"SLUTTDATO";"SIST MODIFISERT";"ALTERNATIV UHELLSKODE";"ALVORLIGHETSGRAD";"ANMELDELSESNUMMER";"ANTALL ALVORLIG SKADET";"ANTALL DREPTE I ULYKKEN";"ANTALL ENHETER";"ANTALL KJØREFELT";"ANTALL LETTERE SKADET";"ANTALL MEGET ALVORLIG SKADET";"BEHANDLENDE POLITIDISTRIKT";"BESKRIVELSE";"DEKKETYPE";"FARTSGRENSE";"FORSTERKET VEGOPPMERKING";"FØREFORHOLD";"GEOMETRI, PUNKT";"HISTORISK HP";"HISTORISK KILOMETERVERDI";"HISTORISK VEGKATEGORI";"HISTORISK VEGNUMMER";"HISTORISK VEGSTATUS";"KILDE FOR ULYKKEN";"KJØREFELTTYPE";"KOMMUNENR SSB";"LYSFORHOLD";"MELDINGSDATO";"MIDTDELER";"OK SSB";"OPPGITT ANTALL SKADDE";"REGISTRERING STATUS";"REGISTRERINGSDATO FOR FAGDATA";"STEDFESTINGENS NØYAKTIGHET";"STEDSBESKRIVELSE";"STEDSFORHOLD";"TEMPERATUR";"TETTSTED";"UHELL KATEGORI";"UKEDAG";"ULYKKE REGISTRERT AV";"ULYKKESDATO";"ULYKKESKLOKKESLETT";"ULYKKESKODE";"VEGBREDDE";"VEGNAVN";"VEGTYPE";"VÆRFORHOLD";"KOMMUNE";"KOMMUNENUMMER";"FYLKE";"FYLKESNUMMER";"RIKSVEGRUTE";"KONTRAKTSOMRÅDE";"VEGSYSTEMREFERANSE";"VEGKATEGORI";"VEGSTATUS";"VEGNUMMER";"STREKNING";"DELSTREKNING";"FRA METER";"TIL METER";"VEGLENKESEKVENSID";"STARTPOSISJON";"SLUTTPOSISJON";"RETNING";"SIDEPOSISJON";"GEOMETRI"
"238670651";"570";"1";"2010-01-08";"";"2019-10-23T14:25:07";"";"Lettere skadd";"";"0";"0";"4";"2";"1";"0";"7";"";"Asfalt, oljegrus";"60";"";"Delvis snø / isbelagt veg";"POINT (-29569.8 6721751.7)";"16";"4300";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Dagslys";"";"Nei";"";"";"";"2010-11-17";"Tilnærmet";"";"Avkjørsel";"-19";"Utenfor tettbebyggelse";"Bilulykke";"Fredag";"";"2010-01-08";"15:55:00";"Påkjøring bakfra";"";"";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S79D1 m5084";"Europaveg";"Eksisterende";"39";"79";"1";"5084.194";"5084.194";"804775";"0.17554787";"0.17554787";"WITH";"";"POINT Z(-29569.743 6721751.562 56.248)"
"238670709";"570";"1";"2010-01-28";"";"2020-06-11T12:04:44";"";"Lettere skadd";"";"0";"0";"2";"6";"2";"0";"7";"";"Asfalt, oljegrus";"50";"";"Delvis snø / isbelagt veg";"POINT (-31451.6 6732434.1)";"18";"3035";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Dagslys";"";"Ja";"";"";"";"2010-03-01";"Tilnærmet";"";"4 armet kryss (X-kryss)";"1";"Utenfor tettbebyggelse";"Bilulykke";"Torsdag";"";"2010-01-28";"11:15:00";"Påkjøring bakfra";"";"Fjøsangerveien";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S78D1 m729";"Europaveg";"Eksisterende";"39";"78";"1";"728.669";"728.669";"805616";"0.16591827";"0.16591827";"WITH";"";"POINT Z(-31451.567 6732433.9 11.44)"
"238670728";"570";"1";"2010-01-29";"";"2020-06-11T12:04:44";"";"Lettere skadd";"";"0";"0";"3";"2";"3";"0";"7";"";"Asfalt, oljegrus";"80";"";"Tørr, bar veg";"POINT (-31041.8 6735196)";"19";"2241";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Mørkt med vegbelysning";"";"Nei";"";"";"";"2010-03-01";"Tilnærmet";"";"Tunnel (primært for motorkjøretøy)";"";"Utenfor tettbebyggelse";"Bilulykke";"Fredag";"";"2010-01-29";"07:50:00";"Påkjøring bakfra";"6.0";"Fløyfjellstunnelen";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,T1260 Hordaland vest 2016-2022,1211 Tunneler i Bergen 2016 - 2021 (test),1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S77D1 m9640";"Europaveg";"Eksisterende";"39";"77";"1";"9640.011";"9640.011";"805616";"0.4730674";"0.4730674";"WITH";"";"POINT Z(-31085.283 6735197.592 19.492)"
"240414740";"570";"1";"2010-02-05";"";"2019-11-01T08:53:05";"";"Lettere skadd";"";"0";"0";"1";"2";"1";"0";"7";"";"Asfalt, oljegrus";"60";"";"Delvis snø / isbelagt veg";"POINT (-31461 6731536.9)";"18";"2130";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Mørkt med vegbelysning";"";"Ja";"";"";"";"2010-08-11";"Tilnærmet";"";"Vegstrekning utenfor kryss/avkjørsel";"0";"Innenfor tettbebyggelse";"Bilulykke";"Fredag";"";"2010-02-05";"18:50:00";"Enslig kjøretøy kjørte utfor på høyre side på rett vegstrekning";"";"";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S78D1 m1677";"Europaveg";"Eksisterende";"39";"78";"1";"1676.696";"1676.696";"805616";"0.0689887";"0.0689887";"WITH";"";"POINT Z(-31452.454 6731496.854 24.61)"
"240414748";"570";"1";"2010-02-09";"";"2019-11-01T08:53:05";"";"Lettere skadd";"";"0";"0";"2";"3";"1";"0";"7";"";"Asfalt, oljegrus";"60";"";"Tørr, bar veg";"POINT (-31449.6 6731884.2)";"18";"2515";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Dagslys";"";"Ja";"";"";"";"2011-02-23";"Tilnærmet";"";"3-armet kryss (T-kryss, Y-kryss)";"0";"Utenfor tettbebyggelse";"Bilulykke";"Tirsdag";"";"2010-02-09";"16:05:00";"Påkjøring bakfra ved venstresving";"";"";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S78D1 m1291";"Europaveg";"Eksisterende";"39";"78";"1";"1291.087";"1291.087";"805616";"0.10844428";"0.10844428";"WITH";"";"POINT Z(-31451.062 6731882.22 19.007)"
"240414779";"570";"1";"2010-02-16";"";"2019-11-01T08:53:05";"";"Drept";"";"0";"1";"2";"2";"0";"0";"7";"";"Asfalt, oljegrus";"70";"";"Tørr, bar veg";"POINT (-32205.8 6725989.6)";"17";"889";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Dagslys";"";"Nei";"";"";"";"2011-02-21";"Nøyaktig";"";"Tunnel (primært for motorkjøretøy)";"";"Utenfor tettbebyggelse";"Bilulykke";"Tirsdag";"";"2010-02-16";"11:45:00";"Møting på rett vegstrekning";"7.5";"Hopstunnelen.";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,T1260 Hordaland vest 2016-2022,1211 Tunneler i Bergen 2016 - 2021 (test),1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S78D1 m7929";"Europaveg";"Eksisterende";"39";"78";"1";"7929.123";"7929.123";"805615";"0.5076032";"0.5076032";"WITH";"";"POINT Z(-32205.581 6725989.399 14.307)"
"240414812";"570";"1";"2010-02-22";"";"2019-11-01T08:53:05";"";"Lettere skadd";"";"0";"0";"3";"2";"1";"0";"7";"";"Asfalt, oljegrus";"80";"";"Delvis snø / isbelagt veg";"POINT (-28431 6720404.2)";"16";"2380";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Dagslys";"";"Nei";"";"";"";"2010-03-17";"Nøyaktig";"";"Vegstrekning utenfor kryss/avkjørsel";"-1";"Utenfor tettbebyggelse";"Bilulykke";"Mandag";"";"2010-02-22";"15:44:00";"Møting under forbikjøring av stanset eller parkert kjøretøy";"";"";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S79D1 m7017";"Europaveg";"Eksisterende";"39";"79";"1";"7016.595";"7016.595";"805614";"0.91157519";"0.91157519";"WITH";"";"POINT Z(-28428.514 6720402.933 55.44)"
"240414824";"570";"1";"2010-02-22";"";"2020-02-03T15:22:39";"";"Lettere skadd";"";"0";"0";"1";"4";"1";"0";"7";"";"Asfalt, oljegrus";"80";"";"Snø / isbelagt veg";"POINT (-32461.1 6726706.8)";"74";"41500";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Mørkt med vegbelysning";"";"Ja";"";"";"";"2010-03-22";"Tilnærmet";"";"Vegstrekning utenfor kryss/avkjørsel";"0";"Utenfor tettbebyggelse";"Bilulykke";"Mandag";"";"2010-02-22";"22:15:00";"Enslig kjøretøy kjørte utfor på høyre side på rett vegstrekning";"";"";"Motorveg";"Dårlig sikt, nedbør";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S78D1 m6434 KD2 m498";"Europaveg";"Eksisterende";"39";"78";"1";"6433.511";"6433.511";"804818";"0.85142771";"0.85142771";"WITH";"";"POINT Z(-32458.303 6726705.304 10.984)"
"240414838";"570";"1";"2010-02-26";"";"2018-06-05T14:57:55";"";"Lettere skadd";"";"0";"0";"2";"4";"1";"0";"7";"";"Asfalt, oljegrus";"60";"";"Våt, bar veg";"POINT (-31523.2 6730585.2)";"18";"1158";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Dagslys";"";"Ja";"";"";"";"2010-03-18";"Tilnærmet";"";"Vegstrekning utenfor kryss/avkjørsel";"4";"Utenfor tettbebyggelse";"Bilulykke";"Fredag";"";"2010-02-26";"09:10:00";"Skifte av felt til høyre";"";"";"Vanlig veg/gate";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S78D1 m2648";"Europaveg";"Eksisterende";"39";"78";"1";"2648.187";"2648.187";"804782";"0.6582052";"0.6582052";"WITH";"";"POINT Z(-31519.947 6730583.789 26.019)"
"245822196";"570";"1";"2010-03-28";"";"2019-10-23T14:25:07";"";"Lettere skadd";"";"0";"0";"2";"2";"1";"0";"7";"";"Asfalt, oljegrus";"80";"";"Våt, bar veg";"POINT (-32184.5 6728210.3)";"17";"3270";"Europaveg";"39";"Eksisterende veg";"";"Vanlig kjørefelt";"4601";"Mørkt med vegbelysning";"";"Ja";"";"";"";"2010-04-30";"Tilnærmet";"";"Vegstrekning utenfor kryss/avkjørsel";"4";"Utenfor tettbebyggelse";"Bilulykke";"Søndag";"";"2010-03-28";"04:33:00";"Kjøring i parallelle kjørefelter forøvrig";"";"";"Motorveg";"God sikt, opphold";"Bergen";"4601";"Vestland";"46";"RUTE4A 2010-2019,RUTE4A 2014-2023 / 2018-2029";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,9304 Bergen,1202 Stor-Bergen 2020-2021";"EV39 S78D1 m5142";"Europaveg";"Eksisterende";"39";"78";"1";"5141.807";"5141.807";"804778";"0.52288947";"0.52288947";"WITH";"";"POINT Z(-32172.016 6728212.615 4.222)"
